Size_Bytes,Size_Human,GPU_to_CPU_Avg_us,GPU_to_CPU_Min_us,GPU_to_CPU_Max_us,GPU_to_CPU_P99_us,CPU_to_GPU_Avg_us,CPU_to_GPU_Min_us,CPU_to_GPU_Max_us,CPU_to_GPU_P99_us,GPU_to_CXL_Avg_us,GPU_to_CXL_Min_us,GPU_to_CXL_Max_us,GPU_to_CXL_P99_us,CXL_to_GPU_Avg_us,CXL_to_GPU_Min_us,CXL_to_GPU_Max_us,CXL_to_GPU_P99_us,GPU_to_CPU_BW_MBps,CPU_to_GPU_BW_MBps,GPU_to_CXL_BW_MBps,CXL_to_GPU_BW_MBps
64,64B,14.51,13.89,16.34,15.13,13.18,12.72,17.78,16.69,21.31,20.15,25.59,25.47,19.92,18.85,25.76,21.69,4.21,4.63,2.86,3.06
256,256B,14.65,14.02,24.83,16.33,13.40,12.78,23.39,16.45,21.80,20.16,68.76,28.04,20.33,19.34,41.09,23.52,16.66,18.22,11.20,12.01
1024,1KB,14.60,13.99,19.69,16.61,13.34,12.87,15.34,14.11,21.39,20.37,25.21,23.81,20.45,19.39,28.30,22.94,66.90,73.21,45.66,47.75
4096,4KB,15.84,15.06,18.58,18.31,14.51,13.58,15.20,15.06,22.93,22.05,26.20,26.09,21.47,20.27,27.43,24.77,246.67,269.20,170.34,181.93
16384,16KB,19.83,19.03,23.16,21.81,17.37,15.35,20.09,19.96,27.87,26.65,34.12,33.37,23.43,21.96,29.85,29.26,788.15,899.64,560.63,666.78
65536,64KB,27.73,27.08,31.63,31.38,21.64,19.15,24.93,24.27,40.75,37.57,72.63,44.86,28.25,27.16,32.03,31.84,2253.60,2888.06,1533.59,2212.25
262144,256KB,73.38,72.09,78.94,78.62,47.75,44.72,53.63,51.71,103.32,100.19,141.32,113.48,61.07,58.67,69.66,67.61,3406.75,5235.22,2419.67,4093.65
1048576,1MB,220.85,216.33,234.61,232.16,148.19,144.20,165.48,164.59,391.97,354.50,468.50,454.71,332.32,285.75,417.19,415.26,4528.03,6748.02,2551.20,3009.19
4194304,4MB,1941.06,1900.57,2013.28,2006.98,425.09,411.96,492.83,445.60,2391.38,2330.83,3409.34,2660.27,2799.40,2723.23,3014.09,3000.88,2060.73,9409.77,1672.67,1428.88
16777216,16MB,7597.68,7547.23,7953.77,7741.96,1490.13,1435.34,1602.80,1555.68,13185.72,9157.55,393824.97,13984.75,10861.06,9979.18,12345.82,11991.19,2105.91,10737.34,1213.43,1473.15
67108864,64MB,32785.69,32191.39,40710.55,40661.73,5425.04,5129.85,5651.07,5596.27,91451.03,69233.39,485986.26,465939.46,47642.89,44921.43,56627.88,56323.31,1952.07,11797.14,699.83,1343.33
134217728,128MB,120584.79,68309.10,170091.25,168604.98,20552.30,10062.00,27201.32,27141.76,297739.96,144210.26,1004084.67,995215.66,140763.85,94885.96,187811.20,185527.67,1061.49,6228.01,429.91,909.32
